Sausage sizzle roster — one day,,,,,
"12 to 14 people plus a coordinator covers a full day, weighted to the middle. A hardware car park fills from about 10.30am, so overstaff the shift starting at 10 — not the one at 8.",,,,,
,,,,,
When,Slot,Job,Name,Phone,Confirmed?
All day,BBQ Captain,7.30am – 5pm. Not rostered on the grill,,,
7.30 – 8am,Bump-in,Unload and gazebo,,,
,,Sandbags,,,
,,"Plate hot, onions on",,,
,,Stock and float,,,
8 – 10am,Shift 1,Cook (18+),,,
,,Bread and onions,,,
,,Money,,,
10am – 12pm,Shift 2 — peak starts here,Cook (18+),,,
,,Cook (18+),,,
,,Bread and serving,,,
,,Bread and serving,,,
,,Money,,,
12 – 2pm,Shift 3,Cook (18+),,,
,,Cook (18+),,,
,,Bread and serving,,,
,,Bread and serving,,,
,,Money,,,
2 – 4pm,Shift 4,Cook (18+),,,
,,Bread,,,
,,Money and drinks,,,
10am – 3pm,Restock runner,"Has a car. Ice, stock, emergency bread run",,,
4 – 5pm,Pack-down,Degrease the pad,,,
,,Bag rubbish,,,
,,Cash up,,,
,,Load out,,,
,,,,,
"Made with bitibybit.com/volunteer-roster/ — free, no accounts.",,,,,
