School canteen roster — one week,,,,,
Two volunteers a day covers recess and lunch in most primary canteens. Add a third on the busiest day.,,,,,
,,,,,
Shift,Time,Job,Name,Phone,Confirmed?
Monday,9:00am – 1:30pm,Prep and serving,,,
,,Serving and cleanup,,,
Tuesday,9:00am – 1:30pm,Prep and serving,,,
,,Serving and cleanup,,,
Wednesday,9:00am – 1:30pm,Prep and serving,,,
,,Serving and cleanup,,,
Thursday,9:00am – 1:30pm,Prep and serving,,,
,,Serving and cleanup,,,
Friday,9:00am – 1:30pm,Prep and serving,,,
,,Serving and cleanup,,,
,,,,,
"Made with bitibybit.com/volunteer-roster/ — free, no accounts.",,,,,
