Working bee roster,,,,,
"List the jobs, not the hours. People pick a job they can do and stay until it is done, which is not how a shift roster behaves.",,,,,
,,,,,
Area,Time,Job,Name,Phone,Confirmed?
Grounds,8:00am – 12:00pm,Mowing,,,
,,Whipper snipper,,,
,,Garden beds,,,
,,Mulch spreading,,,
Buildings,8:00am – 12:00pm,Painting,,,
,,Painting,,,
,,Repairs,,,
,,Gutters,,,
Inside,8:00am – 12:00pm,Clean out storeroom,,,
,,Windows,,,
Support,8:00am – 12:00pm,Morning tea,,,
,,Tools and trailer,,,
,,Rubbish run to the tip,,,
,,,,,
"Made with bitibybit.com/volunteer-roster/ — free, no accounts.",,,,,
